model_id,tag,inputs,output,options,bip_units,bip_price_usd,notes,description
argil/avatars/audio-to-video,audio-to-video,audio,video,,input seconds,0.02,,"High-quality avatar videos that feel real, generated from your audio"
argil/avatars/text-to-video,text-to-video,text,video,,output seconds,0.0225,"(video input is implicit, so I guess input & output video length is the same)","High-quality avatar videos that feel real, generated from your text"
bria/reimagine/3.2,image-to-image,image,image,,run,0.04,,"Reimagine uses a structure reference for generating new images while preserving the structure of an input image, guided by text prompts. Perfect for transforming sketches, illustrations, or photos into new illustrations. Trained exclusively on licensed data"
bria/text-to-image/3.2,text-to-image,text,image,,run,0.04,,"Bria’s Text-to-Image model, trained exclusively on licensed data for safe and risk-free commercial use. Excels in Text-Rendering and Aesthetics."
bria/video/background-removal,video-to-video,video,video,,output seconds,0.14,,"Automatically remove backgrounds from videos -perfect for creating clean, professional content without a green screen."
bria/video/increase-resolution,video-to-video,video,video,,output seconds,0.14,,Upscale videos up to 8K output resolution. Trained on fully licensed and commercially safe data.
cassetteai/music-generator,text-to-audio,text,audio,,output minutes,0.02,,"CassetteAI’s model generates a 30-second sample in under 2 seconds and a full 3-minute track in under 10 seconds. At 44.1 kHz stereo audio, expect a level of professional consistency with no breaks, no squeaks, and no random interruptions in your creations."
cassetteai/sound-effects-generator,text-to-audio,text,audio,,run,0.01,,Create stunningly realistic sound effects in seconds - CassetteAI's Sound Effects Model generates high-quality SFX up to 30 seconds long in just 1 second of processing time
cassetteai/video-sound-effects-generator,video-to-video,audio,video,,output minutes,0.2,,Add sound effects to your videos
creatify/lipsync,video-to-video,audio,video,,output minutes,1,,"Realistic lipsync video - optimized for speed, quality, and consistency."
decart/lucy-14b/image-to-video,image-to-video,image,video,,output seconds,0.08,,Lucy-14B delivers lightning fast performance that redefines what's possible with image-to-video AI
decart/lucy-edit/dev,video-to-video,video,video,720p,output seconds,0.03,,Lucy Edit Dev
decart/lucy-edit/pro,video-to-video,video,video,"480p
720p",output seconds,"0.15
0.3",,Lucy Edit Pro
easel-ai/advanced-face-swap,image-to-image,image,image,,run,0.05,,"Swap faces of one or two people at once, while preserving user and scene details!"
easel-ai/easel-avatar,text-to-image,text,image,,run,0.05,,Create scenes with one or two people using just selfies and text prompt (without LoRAs)
easel-ai/easel-gifswap,image-to-image,image,image,,run,0.05,,Swap faces on GIFs
easel-ai/fashion-photoshoot,image-to-image,image,image,,run,0.07,,Instant fashion photoshoot with a selfie and an outfit
easel-ai/fashion-tryon,image-to-image,image,image,,run,0.05,,Instant fashion try on with a full-body pic and an outfit
easel-ai/product-photoshoot,image-to-image,image,image,,run,0.08,,Create product advertisements with an example image of the product
fal-ai/ace-step,text-to-audio,text,audio,,output seconds,0.0002,,Generate music with lyrics from text using ACE-Step
fal-ai/ace-step/audio-inpaint,audio-to-audio,audio,audio,,output seconds,0.0002,,Modify a portion of provided audio with lyrics and/or style using ACE-Step
fal-ai/ace-step/audio-outpaint,audio-to-audio,audio,audio,,output seconds,0.0002,,Extend the beginning or end of provided audio with lyrics and/or style using ACE-Step
fal-ai/ace-step/audio-to-audio,audio-to-audio,audio,audio,,output seconds,0.0002,,Generate music from a lyrics and example audio using ACE-Step
fal-ai/ace-step/prompt-to-audio,text-to-audio,text,audio,,output seconds,0.0002,,Generate music from a simple prompt using ACE-Step
fal-ai/ai-avatar,image-to-video,image,video,"480p
720p",output seconds,"0.3
0.6",,MultiTalk model generates a talking avatar video from an image and audio file. The avatar lip-syncs to the provided audio with natural facial expressions.
fal-ai/ai-avatar/multi,image-to-video,image,video,"480p
720p",output seconds,"0.3
0.6",,MultiTalk model generates a multi-person conversation video from an image and audio files. Creates a realistic scene where multiple people speak in sequence.
fal-ai/ai-avatar/multi-text,image-to-video,image,video,"480p
720p",output seconds,"0.3
0.6",,"MultiTalk model generates a multi-person conversation video from an image and text inputs. Converts text to speech for each person, generating a realistic conversation scene."
fal-ai/ai-avatar/single-text,image-to-video,image,video,"480p
720p",output seconds,"0.3
0.6",,"MultiTalk model generates a talking avatar video from an image and text. Converts text to speech automatically, then generates the avatar speaking with lip-sync."
fal-ai/amt-interpolation,video-to-video,video,video,,compute seconds,0.00111,,Interpolate between video frames
fal-ai/amt-interpolation/frame-interpolation,image-to-video,image,video,,compute seconds,0.00111,,Interpolate between image frames
fal-ai/animatediff-sparsectrl-lcm,text-to-video,text,video,,compute seconds,0.00111,,Animate Your Drawings with Latent Consistency Models!
fal-ai/any-llm,llm,text,text,,run,0.001,,Use any large language model from our selected catalogue (powered by OpenRouter)
